Statistics Type on NE	Statistics Type and Statistics Counters desription	Statistics Counter on NE	Counter Name in XML	IMS element 	comment
	P-abort received - unrecognized message type	CV_SS7_TCAP_UnrecogMsg = 3	IT.SS7_TCAP_UnrecogMsg	MGCF, RGCF, BGCF	
	P-abort received - incorrect TP	CV_SS7_TCAP_IncorrectTP = 4	IT.SS7_TCAP_IncorrectTP	MGCF, RGCF, BGCF	
	P-abort received - badly formatted TP	CV_SS7_TCAP_BadlyFormat = 5	IT.SS7_TCAP_BadlyFormat	MGCF, RGCF, BGCF	
	P-abort received - unrecognized TID	CV_SS7_TCAP_UnrecogTID = 6	IT.SS7_TCAP_UnrecogTID	MGCF, RGCF, BGCF	
	Reject received - unrecognized component	CV_SS7_TCAP_UnrecogComp = 7	IT.SS7_TCAP_UnrecogComp	MGCF, RGCF, BGCF	
	Reject received - mistyped component	CV_SS7_TCAP_MistypeComp = 8	IT.SS7_TCAP_MistypeComp	MGCF, RGCF, BGCF	
	Reject received - badly structured component	CV_SS7_TCAP_BadlyComp = 9	IT.SS7_TCAP_BadlyComp	MGCF, RGCF, BGCF	
CV_VoIPCallsStst = 205	VoIP calls Statistics				
	IP voice traffic counter	CV_AudioTraffic = 1	IT.AudioTraffic	MGCF, RGCF	
	IP fax traffic counter	CV_FaxTraffic = 2	IT.FaxTraffic	MGCF, RGCF	
	IP modem traffic counter	CV_DataTraffic = 3	IT.DataTraffic	MGCF, RGCF	
	Traffic using G.711 codec	CV_CodTypeG711Traffic = 4	IT.CodTypeG711Traffic	MGCF, RGCF	
	Traffic using G.723 codec	CV_CodTypeG723Traffic = 5	IT.CodTypeG723Traffic 	MGCF, RGCF	
	Traffic using G.729 codec	CV_CodTypeG729Traffic = 6	IT.CodTypeG729Traffic	MGCF, RGCF	
	Traffic using T.38 codec	CV_CodTypeFaxT38Traffic = 7	IT.CodTypeFaxT38Traffic	MGCF, RGCF	
	VoIP calls counter	CV_VoIPCalls = 8 	IT.VoIPCalls	MGCF, RGCF	
	VoIP fax calls counter	CV_IPFaxCalls = 9 	IT.IPFaxCalls 	MGCF, RGCF	
	VoIP modem calls counter	CV_IPModemCalls = 10	IT.IPModemCalls 	MGCF, RGCF	
	No of calls using G.711 codec	CV_CodTypeG711Calls = 11	IT.CodTypeG711Calls	MGCF, RGCF	
	No of calls using G.723 codec	CV_CodTypeG723Calls = 12	IT.CodTypeG723Calls	MGCF, RGCF	
	No of calls using G.729 codec	CV_CodTypeG729Calls = 13	IT.CodTypeG729Calls 	MGCF, RGCF	
	No of calls using T.38 codec	CV_CodTypeT38Calls = 14	IT.CodTypeT38Calls	MGCF, RGCF	
	No of calls under Dur1	CV_CallsUnderDur1 = 15	IT.CallsUnderDur1	MGCF, RGCF	
	No of calls between Dur1 and Dur2	CV_CallsDur1toDur2 = 16	IT.CallsDur1toDur2 	MGCF, RGCF	
	No of calls between Dur2 and Dur3	CV_CallsDur2toDur3 = 17	IT.CallsDur2toDur3	MGCF, RGCF	
	No of calls over Dur3	CV_CallsOverDur3 = 18	IT.CallsOverDur3	MGCF, RGCF	
CV_VoIPPacketsStst = 206	VoIP Packets Statistics				
	No of received voice packets sent for playout	CV_RxPacketCount = 1	IT.RxPacketCount	MGCF, RGCF	
	Number of voice packets that are written into the voice data buffer to be transmitted	CV_TxPacketCount = 2	IT.TxPacketCount	MGCF, RGCF	
	Number of octets received by DSP	CV_RxOctets = 3	IT.RxOctets	MGCF, RGCF	
	Number of octets transmitted by DSP	CV_TxOctets = 4	IT.TxOctets	MGCF, RGCF	
	Number of voice packets on the transmit side that were classified as silence	CV_SilencePacketCount = 5	IT.SilencePacketCount	MGCF, RGCF	
	Number of idle (noise) packets being played out due to either lost packets or voice playout FIFO buffer underrun	CV_IdlePacketCount = 6	IT.IdlePacketCount	MGCF, RGCF	
	Number of received DTMF packets	CV_DTMFRxPackets = 7	IT.DTMFRxPackets	MGCF, RGCF	
	Number of transmitted DTMF packets	CV_DTMFTxPackets = 8	IT.DTMFTxPackets	MGCF, RGCF	
	Number of lost packets (based on missing sequence number)	CV_LostPacketsCount = 9	IT.LostPacketsCount	MGCF, RGCF	
	Number of packets lost by the network	CV_PktLostByNetwork = 10	IT.PktLostByNetwork	MGCF, RGCF	
	Number of voice packets dropped due to the voice playout FIFO buffer overrun	CV_DroppedPacketCount = 11	IT.DroppedPacketCount	MGCF, RGCF	
	Number of packets replayed due to lost packets. Jitter indicator.	CV_ReplayPacketCount = 12	IT.ReplayPacketCount	MGCF, RGCF	
	Average delay of the voice playout FIFO (in msec)	CV_AvgPlayoutDelay = 13	IT.AvgPlayoutDelay	MGCF, RGCF	
	Average frame jitter (in msec)	CV_AvgFrameJitter = 14	IT.AvgFrameJitter	MGCF, RGCF	
	No of calls involved in the measurement	CV_NoOfMeasuredCalls = 15	IT.NoOfMeasuredCalls	MGCF, RGCF	
CV_StstM3UA_general = 57	M3UA Statistics - general				
	Total number of failures of M3UA routing operations	CV_M3UAGen_RoutFailures = 1	IT.M3UAGen_RoutFailures 	MGCF, RGCF, BGCF	
	Total number of events when M3UA application is unreachable	CV_M3UAGen_AppUnreachable = 2	IT.M3UAGen_AppUnreachable	MGCF, RGCF, BGCF	
CV_StstM3UA_association = 58	M3UA Statistics - association				
	Number of ASPUP messages sent and received  through the M3UA association	CV_M3UAAssoc_Aspup = 1	IT.M3UAAssoc_Aspup	MGCF, RGCF, BGCF	
	Number of ASPAC messages sent and received through the M3UA association	CV_M3UAAssoc_Aspac = 2	IT.M3UAAssoc_Aspac	MGCF, RGCF, BGCF	
	Number of ASPDN messages sent and received through the M3UA association	CV_M3UAAssoc_Aspdn = 3	IT.M3UAAssoc_Aspdn	MGCF, RGCF, BGCF	
	Number of ASPIA messages sent and received through the M3UA association	CV_M3UAAssoc_Aspia = 4	IT.M3UAAssoc_Aspia	MGCF, RGCF, BGCF	
	Number of ASPUP ACK messages sent and received through the M3UA association	CV_M3UAAssoc_AspupAck = 5	IT.M3UAAssoc_AspupAck	MGCF, RGCF, BGCF	
	Number of ASPAC ACK messages sent and received through the M3UA association	CV_M3UAAssoc_AspacAck = 6	IT.M3UAAssoc_AspacAck	MGCF, RGCF, BGCF	
	Number of ASPDN ACK messages sent and received through the M3UA association	CV_M3UAAssoc_AspdnAck = 7	IT.M3UAAssoc_AspdnAck	MGCF, RGCF, BGCF	
	Number of ASPIA ACK messages sent and received through the M3UA association	CV_M3UAAssoc_AspiaAck = 8	IT.M3UAAssoc_AspiaAck	MGCF, RGCF, BGCF	
	Number of NOTIFY messages sent or received through the M3UA association	CV_M3UAAssoc_Notify = 9	IT.M3UAAssoc_Notify 	MGCF, RGCF, BGCF	
	Number of DAUD messages sent or received through the M3UA association	CV_M3UAAssoc_Daud = 10	IT.M3UAAssoc_Daud	MGCF, RGCF, BGCF	
	Number of DUNA messages sent or received through the M3UA association	CV_M3UAAssoc_Duna = 11	IT.M3UAAssoc_Duna	MGCF, RGCF, BGCF	
	Number of DAVA messages sent or received through the M3UA association	CV_M3UAAssoc_Dava = 12	IT.M3UAAssoc_Dava	MGCF, RGCF, BGCF	
	Number of DUPU messages sent or received through the M3UA association	CV_M3UAAssoc_Dupu = 13	IT.M3UAAssoc_Dupu	MGCF, RGCF, BGCF	
	Number of DATA messages sent through the M3UA association	CV_M3UAAssoc_DataOut = 17	IT.M3UAAssoc_DataOut 	MGCF, RGCF, BGCF	
	Number of DATA messages received through the M3UA association	CV_M3UAAssoc_DataIn = 18	IT.M3UAAssoc_DataIn	MGCF, RGCF, BGCF	
	Number of ERROR messages sent through the M3UA association	CV_M3UAAssoc_ErrorOut = 19	IT.M3UAAssoc_ErrorOut	MGCF, RGCF, BGCF	
	Number of ERROR messages received through the M3UA association	CV_M3UAAssoc_ErrorIn = 20	IT.M3UAAssoc_ErrorIn	MGCF, RGCF, BGCF	
	Number of SCON messages sent through the M3UA association	CV_M3UAAssoc_SconOut = 21	IT.M3UAAssoc_SconOut 	MGCF, RGCF, BGCF	
	Number of SCON messages received through the M3UA association	CV_M3UAAssoc_SconIn = 22	IT.M3UAAssoc_SconIn	MGCF, RGCF, BGCF	
CV_StstM2UA_general = 61	M2UA Statistics - general				
	Total number of failures of M2UA routing operations	CV_M2UAGen_RoutFailures = 1	IT.M2UAGen_RoutFailures	MGCF, RGCF, BGCF	
	Total number of events when M2UA application is unreachable	CV_M2UAGen_AppUnreachable = 2	IT.M2UAGen_AppUnreachable	MGCF, RGCF, BGCF	
CV_StstM2UA_association = 62	M2UA Statistics - association				
	Number of ASPUP messages sent and received  through the M2UA association	CV_M2UAAssoc_Aspup = 1	IT.M2UAAssoc_Aspup	MGCF, RGCF, BGCF	
	Number of ASPAC messages sent and received through the M2UA association	CV_M2UAAssoc_Aspac = 2	IT.M2UAAssoc_Aspac 	MGCF, RGCF, BGCF	
	Number of ASPDN messages sent and received through the M2UA association 	CV_M2UAAssoc_Aspdn = 3	IT.M2UAAssoc_Aspdn	MGCF, RGCF, BGCF	
	Number of ASPIA messages sent and received through the M2UA association	CV_M2UAAssoc_Aspia = 4	IT.M2UAAssoc_Aspia	MGCF, RGCF, BGCF	
	Number of ASPUP ACK messages sent and received through the M2UA association	CV_M2UAAssoc_AspupAck = 5	IT.M2UAAssoc_AspupAck	MGCF, RGCF, BGCF	
	Number of ASPAC ACK messages sent and received through the M2UA association	CV_M2UAAssoc_AspacAck = 6	IT.M2UAAssoc_AspacAck	MGCF, RGCF, BGCF	
	Number of ASPDN ACK messages sent and received through the M2UA association	CV_M2UAAssoc_AspdnAck = 7	IT.M2UAAssoc_AspdnAck	MGCF, RGCF, BGCF	
	Number of ASPIA ACK messages sent and received through the M2UA association	CV_M2UAAssoc_AspiaAck = 8	IT.M2UAAssoc_AspiaAck	MGCF, RGCF, BGCF	
	Number of NOTIFY messages sent or received through the M2UA association	CV_M2UAAssoc_Notify = 9	IT.M2UAAssoc_Notify	MGCF, RGCF, BGCF	
	Number of DATA messages received through the M2UA association	CV_M2UAAssoc_DataIn = 10	IT.M2UAAssoc_DataIn	MGCF, RGCF, BGCF	
	Number of DATA messages sent through the M2UA association	CV_M2UAAssoc_DataOut = 11	IT.M2UAAssoc_DataOut	MGCF, RGCF, BGCF	
	Number of ERROR messages sent through the M2UA association	CV_M2UAAssoc_ErrorOut = 12	IT.M2UAAssoc_ErrorOut	MGCF, RGCF, BGCF	
	Number of ERROR messages received through the M2UA association	CV_M2UAAssoc_ErrorIn = 13	IT.M2UAAssoc_ErrorIn	MGCF, RGCF, BGCF	
CV_StstSCTP_general = 59	SCTP Statistics - general				
	Total number current established associations	CV_SCTPGen_CurrEstab = 1	IT.SCTPGen_CurrEstab	MGCF, RGCF, BGCF, AGCF	
	Total number of COOKIE-ECHOED->EST. Transitions	CV_SCTPGen_ActiveEstabs = 2	IT.SCTPGen_ActiveEstabs	MGCF, RGCF, BGCF, AGCF	
	Total number of CLOSED->EST. Transitions	CV_SCTPGen_PasiveEstabs = 3	IT.SCTPGen_PasiveEstabs	MGCF, RGCF, BGCF, AGCF	
	Total number of AnyState --(ABORT)->CLOSED transitions	CV_SCTPGen_Aborteds = 4	IT.SCTPGen_Aborteds	MGCF, RGCF, BGCF, AGCF	
	Total number of [SHUTDOWN-SENT,SHUTDOWN-ACK_SENT]->CLOSED transitions	CV_SCTPGen_ShutDowns = 5	IT.SCTPGen_ShutDowns	MGCF, RGCF, BGCF, AGCF	
	Total number of Out-Of-Blue packets received	CV_SCTPGen_OutOfBlue = 6	IT.SCTPGen_OutOfBlue	MGCF, RGCF, BGCF, AGCF	
CV_StstSCTP_association = 60	SCTP Statistics - association				
	Number of packets rcvd with CRC error, per SCTP association	CV_SCTPAssoc_ChecksumErr = 1	IT.SCTPAssoc_ChecksumErr	MGCF, RGCF, BGCF, AGCF	
	Number of Ctrl chunks sent, per SCTP association	CV_SCTPAssoc_CtrlChunksOUT = 2	IT.SCTPAssoc_CtrlChunksOUT	MGCF, RGCF, BGCF, AGCF	
	Number of Order chunks sent, per SCTP association	CV_SCTPAssoc_OrderChunksOUT = 3	IT.SCTPAssoc_OrderChunksOUT	MGCF, RGCF, BGCF, AGCF	
	Number of Unorder chunks sent, per SCTP association	CV_SCTPAssoc_UnorderChunksOUT = 4	IT.SCTPAssoc_UnorderChunksOUT	MGCF, RGCF, BGCF, AGCF	
	Number of Ctrl chunks received, per SCTP association	CV_SCTPAssoc_CtrlChunksIN = 5	IT.SCTPAssoc_CtrlChunksIN	MGCF, RGCF, BGCF, AGCF	
	Number of Order chunks received, per SCTP association	CV_SCTPAssoc_OrderChunksIN = 6	IT.SCTPAssoc_OrderChunksIN	MGCF, RGCF, BGCF, AGCF	
	Number of Unorder chunks received, per SCTP association	CV_SCTPAssoc_UnorderChunksIN = 7	IT.SCTPAssoc_UnorderChunksIN	MGCF, RGCF, BGCF, AGCF	
	Number of fragmented messages, per SCTP association	CV_SCTPAssoc_FragUsrMsgs = 8	IT.SCTPAssoc_FragUsrMsgs	MGCF, RGCF, BGCF, AGCF	
	Number of joined messages, per SCTP association	CV_SCTPAssoc_ReasmUsrMsgs = 9	IT.SCTPAssoc_ReasmUsrMsgs	MGCF, RGCF, BGCF, AGCF	
	Number of SCTP packets sent, per SCTP association	CV_SCTPAssoc_SCTPPacketsOUT = 10	IT.SCTPAssoc_SCTPPacketsOUT 	MGCF, RGCF, BGCF, AGCF	
	Number of SCTP packets received, per SCTP association	CV_SCTPAssoc_SCTPPacketsIN = 11	IT.SCTPAssoc_SCTPPacketsIN	MGCF, RGCF, BGCF, AGCF	
CV_StstAONonTrunkGrp = 207	AON on trunk group statistics				
	AON on ZSL unsuccessful - no SU available	CV_ZSLUnsuccNoSU = 1	IT.ZSLUnsuccNoSU	MGCF, RGCF	
	AON on ZSL performed unsuccessfully	CV_ZSLUnsuccAON = 2	IT.ZSLUnsuccAON	MGCF, RGCF	
	AON on ZSL performed successfully on first request	CV_ZSLSuccFirstReq = 3	IT.ZSLSuccFirstReq	MGCF, RGCF	
	AON on ZSL performed successfully on second request	CV_ZSLSuccSecondReq = 4	IT.ZSLSuccSecondReq 	MGCF, RGCF	
	AON on ZSL performed successfully on third request	CV_ZSLSuccThirdReq = 5	IT.ZSLSuccThirdReq	MGCF, RGCF	
	AON on ZSL interrupted	CV_ZSLInterrupted = 6	IT ZSLInterrupted 	MGCF, RGCF	
	AON on SL unsuccessful - no SU available	CV_SLUnsuccNoSU = 7	IT.SLUnsuccNoSU	MGCF, RGCF	
	AON on SL performed unsuccessfully	CV_SLUnsuccAON = 8	IT.SLUnsuccAON	MGCF, RGCF	
	AON on SL performed successfully on first request	CV_SLSuccFirstReq = 9	IT.SLSuccFirstReq	MGCF, RGCF	
	AON on SL performed successfully on second request	CV_SLSuccSecondReq = 10	IT.SLSuccSecondReq	MGCF, RGCF	
	AON on SL performed successfully on third request	CV_SLSuccThirdReq = 11	IT.SLSuccThirdReq	MGCF, RGCF	
	AON on SL interrupted	CV_SLInterrupted = 12	IT.SLInterrupted	MGCF, RGCF	
CV_StstIUA_general = 63	IUA Statistics - general				
	Number of IUA interface failure caused by communication	CV_IUAGen_IntfFailure = 1	IT.IUAGen_IntfFailure	MGCF, AGCF	
	Number of IUA interface failure caused by administration 	CV_IUAGen_IntfADMUnoperational = 2	IT.IUAGen_IntfADMUnoperational	MGCF, AGCF	
	Number of SCTP streams shortage	CV_IUAGen_StreamUnavailable = 3	IT.IUAGen_StreamUnavailable	MGCF, AGCF	
CV_StstIUA_association = 64	IUA Statistics - interface				
	Number of ASPUP messages sent and received  through the IUA association	CV_IUAAssoc_Aspup = 1	IT.IUAAssoc_Aspup	MGCF, AGCF	
	Number of ASPAC messages sent and received through the IUA association	CV_IUAAssoc_Aspac = 2	IT.IUAAssoc_Aspac	MGCF, AGCF	
	Number of ASPDN messages sent and received through the IUA association	CV_IUAAssoc_Aspdn = 3	IT.IUAAssoc_Aspdn	MGCF, AGCF	
	Number of ASPIA messages sent and received through the IUA association	CV_IUAAssoc_Aspia = 4	IT.IUAAssoc_Aspia 	MGCF, AGCF	
	Number of ASPUP ACK messages sent and received through the IUA association	CV_IUAAssoc_AspupAck = 5	IT.IUAAssoc_AspupAck	MGCF, AGCF	
	Number of ASPAC ACK messages sent and received through the IUA association	CV_IUAAssoc_AspacAck = 6 	IT.IUAAssoc_AspacAck	MGCF, AGCF	
	Number of ASPDN ACK messages sent and received through the IUA association	CV_IUAAssoc_AspdnAck = 7	IT.IUAAssoc_AspdnAck	MGCF, AGCF	
	Number of ASPIA ACK messages sent and received through the IUA association	CV_IUAAssoc_AspiaAck = 8	IT.IUAAssoc_AspiaAck	MGCF, AGCF	
	Number of NOTIFY messages sent or received through the IUA association	CV_IUAAssoc_Notify = 9	IT.IUAAssoc_Notify	MGCF, AGCF	
	Number of DATA messages sent through the IUA association	CV_IUAAssoc_DataOut = 10	IT.IUAAssoc_DataOut	MGCF, AGCF	
	Number of DATA messages received through the IUA association	CV_IUAAssoc_DataIn = 11	IT.IUAAssoc_DataIn	MGCF, AGCF	
	Number of ERROR messages sent through the IUA association	CV_IUAAssoc_ErrorOut = 12	IT.IUAAssoc_ErrorOut 	MGCF, AGCF	
	Number of ERROR messages received through the IUA association	CV_IUAAssoc_ErrorIn = 13	IT.IUAAssoc_ErrorIn	MGCF, AGCF	
CV_StstV5UA_general = 65	V5UA Statistics - general				
	Number of V5UA interface failure caused by communication	CV_V5UAGen_IntfFailure = 1	IT.V5UAGen_IntfFailure	MGCF	
	Number of V5UA interface failure caused by administration	CV_V5UAGen_IntfADMUnoperational = 2	IT.V5UAGen_IntfADMUnoperational 	MGCF	
CV_StstV5UA_association = 66	V5UA Statistics - interface				
	Number of ASPUP messages sent and received  through the V5UA association	CV_V5UAAssoc_Aspup = 1	IT.V5UAAssoc_Aspup	MGCF	
	Number of ASPAC messages sent and received through the V5UA association	CV_V5UAAssoc_Aspac = 2	IT.V5UAAssoc_Aspac	MGCF	
	Number of ASPDN messages sent and received through the V5UA association	CV_V5UAAssoc_Aspdn = 3	IT.V5UAAssoc_Aspdn 	MGCF	
	Number of ASPIA messages sent and received through the V5UA association	CV_V5UAAssoc_Aspia = 4	IT.V5UAAssoc_Aspia	MGCF	
	Number of ASPUP ACK messages sent and received through the V5UA association	CV_V5UAAssoc_AspupAck = 5	IT.V5UAAssoc_AspupAck	MGCF	
	Number of ASPAC ACK messages sent and received through the V5UA association	CV_V5UAAssoc_AspacAck = 6	IT.V5UAAssoc_AspacAck	MGCF	
	Number of ASPDN ACK messages sent and received through the V5UA association	CV_V5UAAssoc_AspdnAck = 7	IT.V5UAAssoc_AspdnAck	MGCF	
	Number of ASPIA ACK messages sent and received through the V5UA association	CV_V5UAAssoc_AspiaAck = 8	IT.V5UAAssoc_AspiaAck	MGCF	
	Number of NOTIFY messages sent or received through the V5UA association	CV_V5UAAssoc_Notify = 9	IT.V5UAAssoc_Notify	MGCF	
	Number of DATA messages sent through the V5UA association	CV_V5UAAssoc_DataOut = 10	IT.V5UAAssoc_DataOut	MGCF	
	Number of DATA messages received through the V5UA association	CV_V5UAAssoc_DataIn = 11	IT.V5UAAssoc_DataIn	MGCF	
	Number of ERROR messages sent through the V5UA association	CV_V5UAAssoc_ErrorOut = 12	IT.V5UAAssoc_ErrorOut 	MGCF	
	Number of ERROR messages received through the V5UA association	CV_V5UAAssoc_ErrorIn = 13	IT.V5UAAssoc_ErrorIn	MGCF	
	Number of LinkStatus messages received through the V5UA association 	CV_V5UAAssoc_LinkStatus = 14	IT.V5UAAssoc_LinkStatus	MGCF	
	Number of SaBitStatus messages received through the V5UA association 	CV_V5UAAssoc_SaBitStatus = 15	IT.V5UAAssoc_SaBitStatus	MGCF	
	Number of ERROR messages received through the IUA association 	CV_V5UAAssoc_ErrorInd = 16	IT.V5UAAssoc_ErrorInd	MGCF	
CV_StstDIAMETER_general = 67	DIAMETER Statistics - general				
	Total number of failures of unsuccessfully sent DIAMETER messages	CV_DIAMETERGeneral_UnSentMsg = 1	IT.DIAMETERGeneral_UnSentMsg	I-CSCF, S-CSCF, BGCF, MGCF, RGCF	
	Total number of failures for finding connections for DIAMETER messages	CV_DIAMETERGeneral_ConnNotFound = 2	IT.DIAMETERGeneral_ConnNotFound	I-CSCF, S-CSCF, BGCF, MGCF, RGCF	
konstanta ni definirana, kateremu tipu stat. meritve pripadajo spodnji števci? 	DIAMETER Statistics - connection				na DIAMETRU se meritve izvajajo, manjka zapisovanje v binarni file
	Number of Capabilities Exchange Request messages sent and received through the connection	CV_DIAM_CER = 1	IT.DIAM_CER	P-CSCF, I-CSCF, S-CSCF, TAS, BGCF, MGCF, RGCF	
	Number of Capabilities Exchange Answer  messages sent and received through the connection	CV_DIAM_CEA = 2	IT.DIAM_CEA	P-CSCF, I-CSCF, S-CSCF, TAS, BGCF, MGCF, RGCF	
	Number of Abort Session Request messages sent through the connection	CV_DIAM_ASR = 3	IT.DIAM_ASR		
	Number of Abort Session Answer messages received through the connection	CV_DIAM_ASA = 4	IT.DIAM_ASA		
	Number of Disconnect Peer Request messages sent and received through the connection	CV_DIAM_DPR = 5	IT.DIAM_DPR		
	Number of Disconnect Peer Answer messages sent through the connection	CV_DIAM_DPA = 6	IT.DIAM_DPA		
	Number of Server Assign Request messages sent through the connection	CV_DIAM_SAR = 7	IT.DIAM_SAR	S-CSCF	
	Number of Server Assign Answer messages received through the connection	CV_DIAM_SAA = 8	IT.DIAM_SAA	S-CSCF	
	Number of Multimedia Authentication Request messages sent through the connection	CV_DIAM_MAR = 9	IT.DIAM_MAR	S-CSCF	
	Number of Multimedia Assign Answer messages received through the connection	CV_DIAM_MAA = 10	IT.DIAM_MAA	S-CSCF	
	Number of Location Info Request messages sent through the connection	CV_DIAM_LIR = 11	IT.DIAM_LIR	I-CSCF	
	Number of Location Info Answer messages received through the connection	CV_DIAM_LIA = 12	IT.DIAM_LIA	I-CSCF	
	Number of User Authorization Request messages sent through the connection	CV_DIAM_UAR = 13	IT.DIAM_UAR	I-CSCF	
	Number of User Authorization Answer messages received through the connection	CV_DIAM_UAA = 14	IT.DIAM_UAA	I-CSCF	
	Number of Push Profile Request messages received through the connection	CV_DIAM_PPR = 15	IT.DIAM_PPR	S-CSCF	
	Number of Push Profile Answer messages sent through the connection	CV_DIAM_PPA = 16	IT.DIAM_PPA	S-CSCF	
	Number of Registraton Termination Request messages received through the connection	CV_DIAM_RTR = 17	IT.DIAM_RTR		
	Number of Registration Termination Answer messages sent through the connection	CV_DIAM_RTA = 18	IT.DIAM_RTA		
	Number of User Data Request messages sent through the connection	CV_DIAM_UDR = 19	IT.DIAM_UDR 		
	Number of User Data Answer messages received through the connection	CV_DIAM_UDA = 20	IT.DIAM_UDA 		
	Number of Push Notification Request messages sent through the connection	CV_DIAM_PNR = 21	IT.DIAM_PNR		
	Number of Push Notification Answer messages received through the connection	CV_DIAM_PNA = 22	IT.DIAM_PNA		
	Number of Profile Update Request messages sent through the connection	CV_DIAM_PUR = 23	IT.DIAM_PUR		
	Number of Profile Update Answer messages received through the connection	CV_DIAM_PUA = 24	IT.DIAM_PUA		
	Number of unsuccessfully sent messages through the connection	CV_DIAM_UnsuccesSent = 25	IT.DIAM_UnsuccesSent	I-CSCF, S-CSCF, TAS, BGCF, MGCF, RGCF	
	Number of unknown message messages sent through the connection	CV_DIAM_UnknwMsgSend = 26	IT.DIAM_UnknwMsgSend	I-CSCF, S-CSCF, TAS, BGCF, MGCF, RGCF	
	Number of unknown messages received through the connection	CV_DIAM_UnknwMsgRecv = 27	IT.DIAM_UnknwMsgRecv	I-CSCF, S-CSCF, TAS, BGCF, MGCF, RGCF	
	Number of Credit Control Request messages sent through the connection	CV_DIAM_CCR = 28	IT.DIAM_CCR	S-CSCF, TAS	
	Number of Credit Control Answer messages received through the connection	CV_DIAM_CCA = 29	IT.DIAM_CCA	S-CSCF, TAS	
	Number of Accounting Request messages sent through the connection	CV_DIAM_ACR = 30	IT.DIAM_ACR	S-CSCF, TAS, BGCF, MGCF, RGCF	
	Number of Accounting Answer messages received through the connection	CV_DIAM_ACA = 31	IT.DIAM_ACA	S-CSCF, TAS, BGCF, MGCF, RGCF	
CV_StstSupSrv3PTY = 20	Statistics of Supplementary Service - 3PTY (Three Party Call)				
	Supplementary service 3PTY successful invocation	CV_SsInvSucc = 7	IT.SS.3PTYInvSucc	TAS	
CV_StstSupSrvABDS = 21	Statistics of Supplementary Service - ABDS (Abbreviated Dialling, Subscriber Selection)				
	Supplementary service ABDS activation	CV_SsAct = 1	IT.SS.ABDSAct	TAS	
	Supplementary service ABDS successful activation	CV_SsActSucc = 2	IT.SS.ABDSActSucc	TAS	
	Supplementary service ABDS deactivation	CV_SsDeact = 3	IT.SS.ABDSDeact	TAS	
	Supplementary service ABDS successful deactivation	CV_SsDeactSucc = 4	IT.SS.ABDSDeactSucc	TAS	
	Supplementary service ABDS interogation	CV_SsInt = 5	IT.SS.ABDSInt	TAS	
	Supplementary service ABDS successful interogation	CV_SsIntSucc = 6	IT.SS.ABDSIntSecc	TAS	
CV_StstSupSrvCONF = 22	Statistics of Supplementary Service - CONF (Conference Call, Add On)				
	Supplementary service CONF successful invocation	CV_SsInvSucc = 7	CONF.AttCreation	TAS	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca CONF.AttCreation po standardu TS 22.409
CV_StstSupSrvACS = 23	Statistics of Supplementary Services - ACSC, ACSR, ACSD (Alarm Call Service - Casual, Alarm Call Service - Regular, Alarm Call Service - Daily)				
	Supplementary service ACS activation	CV_SsAct = 1	IT.SS.ACSAct	TAS	
	Supplementary service ACS successful activation	CV_SsActSucc = 2	IT.SS.ACSActSucc	TAS	
	Supplementary service ACS deactivation	CV_SsDeact = 3	IT.SS.ACSDeact	TAS	
	Supplementary service ACS successful deactivation	CV_SsDeactSucc = 4	IT.SS.ACSDeactSucc	TAS	
	Supplementary service ACS interogation	CV_SsInt = 5	IT.SS.ACSInt	TAS	
	Supplementary service ACS successful interogation	CV_SsIntSucc = 6	IT.SS.ACSIntSucc	TAS	
	Supplementary service ACS successful invocation	CV_SsInvSucc = 7	IT.SS.ACSInvSucc	TAS	
CV_StstSupSrvMCE = 24	Statistics of Supplementary Service - MCE (Multi Carrier Environment)				
	Supplementary service MCE activation	CV_SsAct = 1	IT.SS.MCEAct	TAS	
	Supplementary service successful MCE activation	CV_SsActSucc = 2	IT.SS.MCEActSucc	TAS	
CV_StstSupSrvCD = 25	Statistics of Supplementary Service - CD (Call Deflection)				
	Supplementary service successful CD invocation	CV_SsInvSucc = 7	SC.CDUsed	TAS	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.CDUsed po standardu TS 22.409
CV_StstSupSrvCFNR = 26	Statistics of Supplementary Service - CFNR (Call Forwarding No Reply)				
	Supplementary service CFNR activation	CV_SsAct = 1	IT.SS.CFNRAct	TAS	
	Supplementary service CFNR successful activation	CV_SsActSucc = 2	IT.SS.CFNRActSucc	TAS	
	Supplementary service CFNR deactivation	CV_SsDeact = 3	IT.SS.CFNRDeact	TAS	
	Supplementary service CFNR successful deactivation	CV_SsDeactSucc = 4	IT.SS.CFNRDeactSucc	TAS	
	Supplementary service CFNR interogation	CV_SsInt = 5	IT.SS.CFNRInt	TAS	
	Supplementary service CFNR successful interogation	CV_SsIntSucc = 6	IT.SS.CFNRIntSucc	TAS	
	Supplementary service CFNR successful invocation	CV_SsInvSucc = 7	SC.CFNRUsed	TAS	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.CFNRUsed po standardu TS 22.409
CV_StstSupSrvCFB = 27	Statistics of Supplementary Service - CFB (Call Forwarding Busy)				
	Supplementary service CFB activation	CV_SsAct = 1	IT.SS.CFBAct	TAS	
